DR_NO	Date Rptd	DATE OCC	TIME OCC	AREA	AREA NAME	Rpt Dist No	Part 1-2	Crm Cd	Crm Cd Desc	Mocodes	Vict Age	Vict Sex	Vict Descent	Premis Cd	Premis Desc	Weapon Used Cd	Weapon Desc	Status	Status Desc	Crm Cd 1	Crm Cd 2	Crm Cd 3	Crm Cd 4	LOCATION	Cross Street	LAT	LON
200319982	11/06/2020 12:00:00 AM	11/06/2020 12:00:00 AM	0811	03	Southwest	0341	1	320	BURGLARY, ATTEMPTED	1822 0342 0216 1309 0329 1202 1607	78	F	B	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	320	N/A	N/A	N/A	4000 S  CLOVERDALE                   AV	N/A	34.0137	-118.3624
201113561	09/13/2020 12:00:00 AM	04/05/2020 12:00:00 AM	1200	11	Northeast	1178	2	354	THEFT OF IDENTITY	1822	44	F	C	501	SINGLE FAMILY DWELLING	N/A	N/A	IC	Invest Cont	354	N/A	N/A	N/A	3400    LOOSMORE                     ST	N/A	34.0949	-118.2243
200105990	01/29/2020 12:00:00 AM	01/26/2020 12:00:00 AM	2330	01	Central	0185	1	330	BURGLARY FROM VEHICLE	0344 1609 1307 0329 1822	34	M	W	101	STREET	500	UNKNOWN WEAPON/OTHER WEAPON	IC	Invest Cont	330	N/A	N/A	N/A	11TH                         ST	MAIN                         ST	34.0391	-118.2581
200613650	08/06/2020 12:00:00 AM	08/06/2020 12:00:00 AM	0300	06	Hollywood	0636	2	740	VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)	0329 1300	32	F	B	502	MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)	N/A	N/A	IC	Invest Cont	740	N/A	N/A	N/A	1800    WILCOX                       AV	N/A	34.1039	-118.331
201309593	04/19/2020 12:00:00 AM	04/18/2020 12:00:00 AM	1600	13	Newton	1326	1	510	VEHICLE - STOLEN	N/A	0	N/A	N/A	101	STREET	N/A	N/A	IC	Invest Cont	510	N/A	N/A	N/A	28TH                         ST	HOOPER	34.0144	-118.25
200213976	08/19/2020 12:00:00 AM	08/07/2020 12:00:00 AM	1305	02	Rampart	0216	1	331	THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)	0344 1606 0321	36	M	H	101	STREET	N/A	N/A	IC	Invest Cont	331	N/A	N/A	N/A	CORONADO	SUNSET	34.0789	-118.2683
200306603	02/13/2020 12:00:00 AM	02/13/2020 12:00:00 AM	1600	03	Southwest	0308	1	236	INTIMATE PARTNER - AGGRAVATED ASSAULT	2000 0334 0445 1813 2004 0913	36	F	H	101	STREET	219	SCREWDRIVER	IC	Invest Cont	236	N/A	N/A	N/A	21ST                         ST	OAK                          ST	34.0347	-118.2792
201009451	05/27/2020 12:00:00 AM	05/27/2020 12:00:00 AM	1010	10	West Valley	1001	2	624	BATTERY - SIMPLE ASSAULT	0342 0913 0416 1420 0429	18	F	A	102	SIDEWALK	400	STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)	IC	Invest Cont	624	N/A	N/A	N/A	KESWICK                      ST	SHIRLEY                      AV	34.2106	-118.5579
200114108	06/29/2020 12:00:00 AM	06/28/2020 12:00:00 AM	1330	01	Central	0185	2	740	VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)	0329	51	M	O	203	OTHER BUSINESS	N/A	N/A	IC	Invest Cont	740	N/A	N/A	N/A	900 S  SANTEE                       ST	N/A	34.0397	-118.2538
201011581	08/01/2020 12:00:00 AM	07/31/2020 12:00:00 AM	2300	10	West Valley	1045	1	420	THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)	0344 1822 1606 0321 0930	46	M	W	104	DRIVEWAY	N/A	N/A	IC	Invest Cont	420	N/A	N/A	N/A	17900    CALIFA                       ST	N/A	34.1783	-118.523
